nome,estrelas,data_criacao,idade_anos,idade_dias,idade_total_dias,prs_merged,total_releases,dias_ultimo_push,linguagem_primaria,issues_total,issues_fechadas,razao_issues_fechadas
codecrafters-io/build-your-own-x,540865,2018-05-09T12:03:18Z,8,103,3023,157,0,35,Markdown,947,677,71.49
sindresorhus/awesome,497400,2014-07-11T13:42:37Z,12,41,4421,701,0,0,N/A,368,352,95.65
public-apis/public-apis,464454,2016-03-20T23:49:42Z,10,152,3802,2147,0,0,Python,937,910,97.12
freeCodeCamp/freeCodeCamp,454277,2014-12-24T17:49:19Z,11,240,4255,29113,0,0,TypeScript,22063,21898,99.25
EbookFoundation/free-programming-books,394701,2013-10-11T06:50:37Z,12,314,4694,7423,0,0,Python,1293,1255,97.06
openclaw/openclaw,386669,2025-11-24T10:16:47Z,0,267,267,26170,234,0,TypeScript,47517,44027,92.66
nilbuild/developer-roadmap,364862,2017-03-15T13:45:52Z,9,158,3443,4399,1,0,TypeScript,3185,3185,100.00
donnemartin/system-design-primer,364675,2017-02-26T16:15:28Z,9,175,3460,210,0,151,Python,402,127,31.59
jwasham/coding-interview-university,359156,2016-06-06T02:34:12Z,10,75,3725,415,0,355,N/A,536,455,84.89
vinta/awesome-python,314694,2014-06-27T21:00:06Z,12,55,4435,741,0,2,Python,0,0,0.00
awesome-selfhosted/awesome-selfhosted,313525,2015-06-01T02:33:17Z,11,81,4096,0,1,1,N/A,0,0,0.00
practical-tutorials/project-based-learning,279793,2017-04-12T05:07:46Z,9,130,3415,194,0,1,Python,239,88,36.82
996icu/996.ICU,276700,2019-03-26T07:31:14Z,7,147,2702,1072,0,361,N/A,0,0,0.00
obra/superpowers,273657,2025-10-09T19:45:18Z,0,313,313,167,12,5,Shell,852,715,83.92
react/react,247415,2013-05-24T16:15:54Z,13,89,4834,13034,132,1,JavaScript,14619,13801,94.40
torvalds/linux,243215,2011-09-04T22:48:12Z,14,351,5461,0,0,0,C,0,0,0.00
affaan-m/ECC,240949,2026-01-18T00:51:51Z,0,212,212,997,15,0,JavaScript,710,667,93.94
trimstray/the-book-of-secret-knowledge,239015,2018-06-23T10:43:14Z,8,58,2978,122,0,637,N/A,0,0,0.00
NousResearch/hermes-agent,232517,2025-07-22T22:22:28Z,1,27,392,11188,28,0,Python,22430,11263,50.21
TheAlgorithms/Python,223839,2016-07-16T09:44:01Z,10,35,3685,3088,0,15,Python,1749,1606,91.82
mattpocock/skills,221440,2026-02-03T11:15:53Z,0,196,196,90,7,1,Shell,663,304,45.85
vuejs/vue,210238,2013-07-29T03:24:51Z,13,23,4768,1136,249,677,TypeScript,10035,9670,96.36
ossu/computer-science,208142,2014-05-04T00:18:39Z,12,109,4489,315,0,35,HTML,675,658,97.48
multica-ai/andrej-karpathy-skills,203625,2026-01-27T03:53:13Z,0,203,203,12,0,120,N/A,0,0,0.00
n8n-io/n8n,201115,2019-06-22T09:24:21Z,7,59,2614,20120,764,0,TypeScript,10033,9695,96.63
anomalyco/opencode,198823,2025-04-30T20:08:00Z,1,110,475,7320,860,0,TypeScript,24014,20072,83.58
tensorflow/tensorflow,197045,2015-11-07T01:19:20Z,10,287,3937,48928,222,0,C++,41699,40926,98.15
trekhleb/javascript-algorithms,196518,2018-03-24T07:47:04Z,8,149,3069,309,0,23,JavaScript,373,238,63.81
ultraworkers/claw-code,195087,2026-03-31T08:58:08Z,0,140,140,143,0,2,Rust,2211,2195,99.28
DigitalPlatDev/FreeDomain,194173,2024-05-30T13:23:00Z,2,80,810,0,0,6,Markdown,0,0,0.00
ohmyzsh/ohmyzsh,189252,2009-08-28T18:15:37Z,16,359,6199,3653,0,1,Shell,5079,4925,96.97
microsoft/vscode,188910,2015-09-03T20:23:38Z,10,352,4002,52117,233,0,TypeScript,251152,233639,93.03
massgravel/Microsoft-Activation-Scripts,187470,2020-01-12T23:03:34Z,6,219,2409,7,31,45,Batchfile,1073,1067,99.44
Significant-Gravitas/AutoGPT,186672,2023-03-16T09:21:07Z,3,156,1251,4773,117,0,Python,3939,3651,92.69
CyC2018/CS-Notes,185444,2018-02-13T14:56:24Z,8,188,3108,374,0,727,N/A,579,449,77.55
yt-dlp/yt-dlp,185388,2020-10-26T04:22:55Z,5,297,2122,3402,135,0,Python,11921,9949,83.46
jackfrued/Python-100-Days,185335,2018-03-01T16:05:52Z,8,172,3092,13,0,20,Jupyter Notebook,729,193,26.47
getify/You-Dont-Know-JS,184709,2013-11-16T02:37:24Z,12,278,4658,370,0,184,N/A,947,947,100.00
avelino/awesome-go,181425,2014-07-06T13:42:15Z,12,46,4426,3873,0,0,Go,759,736,96.97
ollama/ollama,178902,2023-06-26T19:39:32Z,3,54,1149,3526,245,0,Go,11008,8588,78.02
flutter/flutter,178470,2015-03-06T22:54:58Z,11,167,4182,49629,7,0,Dart,115220,102634,89.08
github/gitignore,175361,2010-11-08T20:17:14Z,15,287,5762,1779,0,26,N/A,0,0,0.00
twbs/bootstrap,174609,2011-07-29T21:19:00Z,15,24,5499,9481,94,0,MDX,22943,22838,99.54
microsoft/markitdown,174493,2024-11-13T19:56:40Z,1,278,643,183,20,20,Python,570,181,31.75
521xueweihan/HelloGitHub,171585,2016-05-04T06:24:11Z,10,108,3758,17,68,16,Python,3320,2708,81.57
anthropics/skills,170276,2025-09-22T15:53:31Z,0,330,330,50,0,0,Python,364,49,13.46
firecrawl/firecrawl,169112,2024-04-15T21:02:29Z,2,125,855,1933,35,0,TypeScript,952,886,93.07
f/prompts.chat,167453,2022-12-05T13:54:13Z,3,257,1352,236,0,0,HTML,172,152,88.37
AUTOMATIC1111/stable-diffusion-webui,164568,2022-08-22T14:05:26Z,3,362,1457,1875,27,169,Python,7913,5491,69.39
huggingface/transformers,164226,2018-10-29T13:56:00Z,7,295,2850,20207,268,0,Python,19326,18452,95.48
jlevy/the-art-of-command-line,162118,2015-05-20T15:11:03Z,11,93,4108,317,0,784,N/A,264,138,52.27
deepseek-ai/deepseek-harness,160145,2026-08-13T11:56:32Z,0,5,5,0,1,1,TypeScript,0,0,0.00
Snailclimb/JavaGuide,157867,2018-05-07T13:27:00Z,8,105,3025,1270,0,0,JavaScript,1158,1100,94.99
langflow-ai/langflow,153427,2023-02-08T22:28:03Z,3,192,1287,7294,303,0,Python,3423,3208,93.72
langgenius/dify,152839,2023-04-12T07:40:24Z,3,129,1224,13413,168,0,TypeScript,18645,18359,98.47
open-webui/open-webui,149153,2023-10-06T22:08:27Z,2,317,1047,4058,167,0,Python,9393,9195,97.89
airbnb/javascript,148136,2012-11-01T23:13:50Z,13,292,5037,822,0,124,JavaScript,1416,1316,92.94
Genymobile/scrcpy,147866,2017-11-21T18:00:27Z,8,272,3192,153,52,1,C,6147,3355,54.58
msitarzewski/agency-agents,146111,2025-10-13T12:12:29Z,0,309,309,222,0,12,Shell,145,87,60.00
langchain-ai/langchain,144498,2022-10-17T02:58:36Z,3,306,1401,17266,1000,0,Python,9994,9674,96.80
x1xhlol/system-prompts-and-models-of-ai-tools,142895,2025-03-05T16:38:29Z,1,166,531,52,0,7,N/A,212,121,57.08
yangshun/tech-interview-handbook,141964,2016-07-05T05:00:48Z,10,46,3696,494,0,11,TypeScript,126,92,73.02
anthropics/claude-code,141893,2025-02-22T17:41:21Z,1,177,542,162,191,0,Python,85029,70767,83.23
vercel/next.js,141857,2016-10-05T23:32:51Z,9,318,3603,28213,1000,0,JavaScript,25200,23279,92.38
ytdl-org/youtube-dl,140969,2010-10-31T14:35:07Z,15,295,5770,1646,341,180,Python,26831,23205,86.49
clash-verge-rev/clash-verge-rev,138647,2023-11-21T18:24:03Z,2,271,1001,1014,67,0,TypeScript,5802,5419,93.40
microsoft/PowerToys,137853,2019-05-01T17:44:02Z,7,111,2666,7010,141,0,C,41143,33760,82.06
iptv-org/iptv,136118,2018-11-14T22:00:57Z,7,279,2834,6997,0,0,TypeScript,34488,34466,99.94
golang/go,135892,2014-08-19T04:33:40Z,12,2,4382,1,0,0,Go,72869,63168,86.69
labuladong/fucking-algorithm,135371,2020-02-19T09:01:23Z,6,182,2372,244,0,171,Markdown,981,981,100.00
Shubhamsaboo/awesome-llm-apps,133122,2024-04-29T05:30:25Z,2,111,841,242,0,1,Python,174,168,96.55
ripienaar/free-for-dev,132144,2015-03-18T21:06:26Z,11,156,4171,3080,0,1,HTML,0,0,0.00
github/spec-kit,130127,2025-08-21T22:54:31Z,0,361,361,1396,212,0,Python,1512,1358,89.81
excalidraw/excalidraw,129965,2020-01-02T01:04:43Z,6,230,2420,3961,15,2,TypeScript,4911,2650,53.96
krahets/hello-algo,129460,2022-11-04T11:08:34Z,3,288,1383,996,10,1,Java,292,278,95.21
Chalarangelo/30-seconds-of-code,128741,2017-11-29T17:35:03Z,8,264,3184,855,12,10,JavaScript,300,300,100.00
garrytan/gstack,128584,2026-03-11T21:22:45Z,0,160,160,306,0,0,TypeScript,767,461,60.10
Comfy-Org/ComfyUI,128285,2023-01-17T03:15:56Z,3,214,1309,3157,153,0,Python,9146,5043,55.14
farion1231/cc-switch,128079,2025-08-04T14:16:16Z,1,14,379,458,51,0,Rust,4668,3183,68.19
react/react-native,126360,2015-01-09T18:10:16Z,11,224,4239,999,471,0,C++,27780,27105,97.57
kubernetes/kubernetes,124578,2014-06-06T22:56:04Z,12,75,4455,65650,810,0,Go,49541,47701,96.29
ggml-org/llama.cpp,124544,2023-03-10T18:58:00Z,3,162,1257,9740,1000,0,C++,9529,8771,92.05
electron/electron,122564,2013-04-12T01:47:36Z,13,131,4876,26624,1000,0,C++,21825,21142,96.87
shadcn-ui/ui,121592,2023-01-04T12:43:27Z,3,227,1322,1438,117,0,TypeScript,4235,3169,74.83
rustdesk/rustdesk,121198,2020-09-28T15:36:08Z,5,325,2150,4208,39,0,Rust,4310,4226,98.05
nodejs/node,119010,2014-11-26T19:57:11Z,11,268,4283,13212,512,0,JavaScript,20774,20072,96.62
Hack-with-Github/Awesome-Hacking,118573,2016-03-30T15:47:10Z,10,143,3793,41,0,23,N/A,0,0,0.00
justjavac/free-programming-books-zh_CN,118379,2013-11-04T01:59:19Z,12,290,4670,300,3,20,N/A,0,0,0.00
microsoft/generative-ai-for-beginners,118029,2023-06-19T16:28:59Z,3,61,1156,601,0,5,Jupyter Notebook,244,244,100.00
nextlevelbuilder/ui-ux-pro-max-skill,117920,2025-11-30T11:36:31Z,0,261,261,139,41,0,Python,173,134,77.46
godotengine/godot,115835,2014-01-04T16:05:36Z,12,229,4609,43374,72,0,C++,63352,49951,78.85
rust-lang/rust,115592,2010-06-16T20:39:03Z,16,67,5907,73573,153,0,Rust,63544,52182,82.12
mrdoob/three.js,114596,2010-03-23T18:58:01Z,16,152,5992,15996,177,0,JavaScript,13740,13493,98.20
2dust/v2rayN,114138,2019-07-30T03:47:24Z,7,21,2576,602,333,1,C#,7137,7118,99.73
d3/d3,113489,2010-09-27T17:22:42Z,15,329,5804,495,194,82,Shell,2247,2242,99.78
immich-app/immich,111559,2022-02-03T15:56:27Z,4,197,1657,10023,305,0,TypeScript,9144,8665,94.76
jaywcjlove/awesome-mac,111377,2016-07-17T15:33:47Z,10,34,3684,1244,15,1,Swift,562,403,71.71
tauri-apps/tauri,110335,2019-07-13T09:09:37Z,7,38,2593,5674,0,1,Rust,6416,5131,79.97
microsoft/TypeScript,110197,2014-06-17T15:28:39Z,12,65,4445,14892,217,4,TypeScript,43252,38226,88.38
browser-use/browser-use,109649,2024-10-31T16:00:56Z,1,291,656,1896,135,0,Python,1605,1504,93.71
axios/axios,109197,2014-08-18T22:30:27Z,12,3,4383,1481,123,0,JavaScript,5054,5008,99.09
VoltAgent/awesome-design-md,109146,2026-03-31T16:37:01Z,0,140,140,6,0,18,N/A,385,78,20.26
fatedier/frp,108856,2015-12-21T15:24:59Z,10,243,3893,861,116,1,Go,4142,4100,98.99
papers-we-love/papers-we-love,108819,2013-12-15T14:31:41Z,12,249,4629,444,0,48,Shell,247,245,99.19
harry0703/MoneyPrinterTurbo,108447,2024-03-11T02:57:34Z,2,160,890,199,17,0,Python,769,753,97.92
denoland/deno,108252,2018-05-15T01:34:26Z,8,97,3017,16457,388,0,Rust,15002,13821,92.13
