timestamp_utc,participante,kata,tratamento,arquivo,num_funcoes,complexidade_media,complexidade_maxima,loc,sloc,linhas_em_branco,indice_manutenibilidade
2026-09-16T23:21:55+00:00,joao,K1,B,katas\joao\kata_01_intervalos.py,1,6.0,6,27,17,7,73.83
2026-09-16T23:22:14+00:00,joao,K2,B,katas\joao\kata_02_transacoes.py,1,7.0,7,28,18,8,56.53
2026-09-17T00:53:36+00:00,joao,K3,A,katas\joao\kata_03_janelas_MANUAL_Joao.py,1,7.0,7,21,13,7,57.92
2026-09-17T00:53:43+00:00,joao,K4,A,katas\joao\kata_04_estoque_MANUAL_Joao.py,1,5.0,5,25,15,9,61.25
2026-09-20T01:11:23+00:00,tiago,K1,A,katas\tiago\kata_01_intervalos_MANUAL_Tiago.py,1,6.0,6,21,15,6,61.53
2026-09-16T20:48:58+00:00,tiago,K2,B,katas\tiago\kata_02_transacoes.py,1,7.0,7,28,18,8,56.53
2026-09-16T20:48:58+00:00,tiago,K3,B,katas\tiago\kata_03_janelas.py,1,6.0,6,21,13,6,55.65
2026-09-20T01:11:52+00:00,tiago,K4,A,katas\tiago\kata_04_estoque_MANUAL_Tiago.py,1,5.0,5,29,17,10,60.78
2026-09-16T23:52:07+00:00,kayque,K1,A,katas\kayque\kata_01_intervalos_MANUAL_Kayque.py,1,7.0,7,21,13,6,59.33
2026-09-16T23:52:07+00:00,kayque,K2,A,katas\kayque\kata_02_transacoes_MANUAL_Kayque.py,1,10.0,10,38,24,12,52.2
2026-09-17T02:27:53+00:00,kayque,K3,B,katas\kayque\kata_03_janelas_IA_Kayque.py,1,5.0,5,24,13,6,85.93
2026-09-17T02:27:58+00:00,kayque,K4,B,katas\kayque\kata_04_estoque_IA_Kayque.py,1,5.0,5,25,13,7,88.0
